"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
1,1,615.93196965,6011.33332706,137.30681511,74683.243285,27005.57014508,2800.24654909,29.69926354
2,1,583.37584602,19854.76722155,104.38637372,35523.37362081,28979.82924993,2611.23192985,35.31016843
3,1,654.05055352,24985.45943327,112.87064675,81172.29064599,27577.67513948,2245.2598095,15.29047846
4,1,1199.02218622,547.77244765,76.56907403,42687.17275629,26414.48184786,2666.16240535,17.68998087
5,1,1148.21550802,3397.78766203,138.17574095,76324.00754066,25987.51082865,2824.68848049,29.66147187
6,1,1168.13691859,6350.2432909,145.79650453,90866.91070267,26521.18617382,2202.82972706,21.48894844
7,1,1214.45102174,7256.70570692,128.2128418,64640.56641954,28234.59641193,2320.59786906,25.04274116
8,1,1375.67382959,12510.70060844,107.29093173,67926.65890995,28437.07671892,2873.48307876,21.3420673
9,1,1284.08519245,31963.55870687,142.14510601,125816.84816503,26227.69068019,2420.3609748,16.26122484
10,1,1409.67895831,13928.50453692,220.58794299,183727.11753199,28119.5512932,3352.50913771,35.75751095
11,1,1451.00109074,14193.14981928,135.47661494,89826.88582067,29787.77010456,3190.49647534,27.43849654
12,1,1628.29895216,16937.69041312,110.23424848,88660.80364844,28673.4874253,2964.6476121,17.70962899
13,1,1648.61296419,29562.57947841,121.12926447,106462.59020842,26393.69495336,3071.69670281,18.13015196
14,1,1789.20841481,30649.91843039,100.28246424,72165.31878266,26280.23099035,2894.66250916,17.95147195
15,1,2049.24399289,13100.62531839,102.7304812,58893.43941036,29442.25046064,3365.74676347,26.68489424
16,1,2298.04985215,11320.67336927,94.62218348,45921.53409018,28752.0873036,2580.22251672,22.71625842
17,1,2325.00570928,12669.21744151,94.59213955,60991.74309661,28846.00961529,3258.86541116,21.58863265
18,1,2654.86061939,10799.76128079,107.11332744,50343.10050487,28502.04512519,2452.3672962,24.50364066
19,1,2654.30692106,18221.77199027,113.21096489,53801.16609301,28882.37385406,2610.66400115,26.96142862
20,1,2773.96952174,1805.35084403,155.39574402,270029.54290984,24952.22304569,2815.52877342,10.42666517
21,1,3304.76321348,21982.42968347,132.44750379,87649.42006018,29122.51233245,3257.63589739,27.53005653
22,1,3582.95386005,20270.84042865,122.31152393,84236.89170193,28433.37182818,2197.26983803,16.68837498
23,1,3827.68717987,18908.23563584,204.55513309,150658.75816794,27022.16420297,2265.76398526,25.46008393
24,1,4176.99283157,21661.90795645,128.71375123,80071.77860532,27856.06367103,2281.78244095,20.02415545
25,1,4108.93472055,23655.85429571,134.22541775,186157.08939803,27862.3564886,2597.55560428,10.6006601
26,1,4212.83604353,31115.83556831,158.76312223,101340.31763779,25437.7625402,2727.31789939,28.01536229
27,1,4272.52561877,17500.04036274,105.68159874,89367.931453,30308.7585496,3582.82814859,19.68683031
28,1,4347.37701547,17319.9210084,405.31665777,608424.15614398,26400.78133393,4121.62463947,43.95492799
29,1,4720.46838008,20767.92254875,122.56403693,86557.64475875,27339.65870356,2085.44522717,15.47402678
30,1,4921.94839661,9319.03317449,130.84036364,86176.13920119,27488.36091845,2744.94954124,23.06828238
31,1,5140.36825013,1074.63849324,166.12043679,96774.6323331,23785.78511345,2656.20587172,31.14175759
32,1,5465.31055074,6225.5218499,152.5839122,105154.61081294,27283.89009187,2659.30089272,24.42092705
33,1,5398.09359525,19218.7394177,89.04416692,42954.77995034,28203.51748369,2387.46709138,20.24154031
34,1,5629.75985481,20736.96162609,128.71432169,185340.99092044,27838.13123318,3103.70328896,11.76856966
35,1,5888.78753068,18749.68018597,113.30661309,53703.63597827,28485.50015752,2884.54349572,29.88789289
36,1,5846.23688746,26677.45232721,107.81600799,66393.5182734,26508.36434143,2260.59104802,17.33183022
37,1,6111.06082006,11864.76867231,117.74118151,56394.64314899,27628.12376801,1834.26353799,19.41116466
38,1,6151.03527191,14710.40756929,169.20497938,212133.46626778,28042.93337838,2816.94170517,15.60818019
39,1,6134.80116901,31317.77995676,102.44866678,87752.47814924,25515.57028514,2484.4154028,13.16096699
40,1,6392.91682669,7650.13484123,118.88589205,85574.50635682,26899.01340249,2799.85477796,19.86918921
41,1,6291.063953,30438.29788351,141.16733786,125775.9357803,24739.74062921,2465.29315362,16.35549748
42,1,6531.21053186,9077.3035724,132.72282341,189958.50889735,27803.49471871,2894.3526784,11.33451414
43,1,6616.45843213,24542.47265138,119.77037783,153778.757995,27058.50778072,2555.69794634,10.23454985
44,1,6704.47928955,4147.63486511,136.00232048,68768.7964718,25541.15812966,2927.11840578,33.11910971
45,1,6757.9508485,26549.24145307,166.90889004,112454.52843149,24825.84864938,2428.47298097,24.72647615
46,1,6873.25545715,12170.3578863,123.99327547,75771.65153394,27272.3629615,2339.119496,20.2489356
47,1,6905.80692437,15821.50089658,69.35561712,34890.9842829,30608.15186863,3153.51308409,21.86770461
48,1,7025.95479031,16351.27993622,111.41088142,117488.25380246,29391.25528871,2689.0185084,12.35865883
49,1,7154.02311606,18685.56037745,94.78039638,55991.73011691,30090.74807288,3046.67023112,22.06156472
50,1,7153.00520182,19298.80531721,147.58863723,81574.36866072,28291.05415633,2067.81297335,22.99191412
51,1,7554.38849848,31214.92504893,106.79657711,60530.02420151,26689.70586436,3235.80894987,26.74550979
52,1,7890.02173638,17764.81754264,120.44302713,118242.32484341,28748.20979897,2429.76961208,12.78304993
53,1,7832.92821409,22424.47474315,113.5131283,91114.18900563,28258.13750387,2801.62012819,17.16967102
54,1,8483.19580909,2018.65035007,149.15040951,160908.28723089,23262.04904015,2373.16307901,13.64799823
55,1,8465.29097931,20486.24967261,142.94988174,205907.6401204,27969.05779218,2986.95740663,12.3930644
56,1,8672.70431256,18457.92415234,136.9128707,123642.02163882,28215.63043288,2451.95110837,15.62876946
57,1,8922.41785546,21703.76688679,105.66073455,127813.95055455,29417.12284043,3028.88731853,11.63637994
58,1,9319.68864454,5827.7992838,97.10188163,45207.44980076,24892.46064484,2720.19128598,25.44619853
59,1,9231.14903669,31251.61788228,103.40470154,59137.68816596,24649.70961473,2182.52668837,17.43910749
60,1,9693.17643832,11871.2339497,149.99806774,225459.13850574,25737.22571617,2498.81503039,10.36808209
61,1,9992.96678272,15710.17975435,164.12235337,107298.48540056,26942.58338205,2732.5590782,28.23694676
62,1,10113.1013015,23473.10513082,117.4025032,83434.25572785,27708.52576689,2385.94112003,16.97593693
63,1,10293.06384256,18756.84392824,89.94732145,63184.24128502,27757.80371511,2778.22690677,16.29216249
64,1,10448.83669692,8771.84830004,132.37547879,254407.1455526,25716.332481,2408.27718114,7.01208553
65,1,10487.22593498,13578.7488758,123.95509294,211817.26680198,27334.84826632,2955.11380782,9.14900586
66,1,10428.13352769,28186.12397955,124.30712489,121831.36528958,25728.56004535,2214.05023079,11.98005896
67,1,10546.70694253,31664.6410123,128.1973566,54660.0145991,24370.83958794,2282.42844528,29.12039297
68,1,10763.41216217,11299.24445498,138.1862665,94356.22858899,27269.0930601,2386.72951998,20.27964026
69,1,11275.86570583,14149.43986466,64.88664904,30041.62024633,28420.24582981,3796.18824181,27.60050998
70,1,11515.88771216,13639.82382062,144.65113752,101032.59152702,26578.56861797,3187.32105064,27.547247
71,1,11495.64223981,27256.54266705,129.68254937,85514.97343334,24933.98372436,2357.64328964,19.64324867
72,1,11492.30812136,8831.62704245,173.14616629,84361.59039771,25530.91242943,2356.53812481,34.30236237
73,1,11526.47660523,12953.8779684,117.88073222,81476.25632209,26299.19992311,2571.0941444,18.87037904
74,1,11874.1501376,10567.94731444,162.76896906,109876.21772978,25476.12984516,2634.75111232,26.1727719
75,1,11864.34928725,22952.97410219,128.42190715,220012.12879426,27542.49914614,2631.23841442,8.37286667
76,1,11976.68514356,14621.79823561,112.29008148,49179.33710288,25619.57668623,2111.34660591,23.50772137
77,1,12129.76542521,5397.9634346,92.12706557,53424.60391475,23561.36113129,2158.87556635,15.6039208
78,1,12234.84032954,13375.01868536,116.11012138,73461.83316683,25725.71707645,2435.09526411,19.28418464
79,1,12362.32537148,25749.67726266,127.51492334,146447.34525329,25516.16035981,2286.97196282,10.78975257
80,1,12330.56322075,30547.15247279,128.01292239,108918.15163684,25278.69272231,2584.09154685,16.50450375
81,1,12420.72957792,2222.86352568,143.01427118,116396.40632776,23038.50914568,2124.9817112,15.61111951
82,1,12528.3426166,6612.06454289,107.75834073,67404.97287346,24448.38656126,2426.18962468,18.3036053
83,1,12458.42056366,11551.90505563,100.78690868,83827.38213878,25707.33626668,2472.50628785,13.32069688
84,1,12606.52982018,29777.48787482,146.55240921,192642.91862685,25222.48818986,2974.1615739,13.81986325
85,1,13184.79635999,480.71624853,118.74736225,103902.22143459,21928.03336558,2550.17054235,14.87610974
86,1,13390.45911156,22423.10996223,127.95903443,149058.65975496,25480.30497734,2684.72414828,12.52158555
87,1,13563.85598893,15076.08677062,211.08963588,385039.02260197,23538.03688641,3784.91897584,17.6866047
88,1,13474.30053613,21605.98348597,174.84510088,117858.54179791,25089.0904671,2867.50480352,30.43995004
89,1,13866.24868713,31143.05942194,122.30985364,70082.32532001,24232.20328326,2611.43108585,23.83340907
90,1,14586.50152522,24944.46223792,130.63190379,63019.38633261,23970.50633958,2372.20873307,27.18075105
91,1,14882.85652452,20217.99614841,122.31087662,188797.79827919,25365.23114806,2895.79848846,9.81465561
92,1,14939.01672823,24217.95402423,137.59284104,89131.3832086,24457.24922135,2655.57400625,23.69314025
93,1,15057.42848352,25921.80685593,136.21284247,96144.22867655,23535.43346118,2552.46026775,20.72039962
94,1,15289.10551869,29445.27535133,97.06650139,64371.89107349,24150.99257567,2332.30169151,15.31699681
95,1,15397.70884584,3027.59705498,114.60009747,139725.2660197,22479.958036,2680.04581756,10.89995518
96,1,15490.85768313,14827.5156583,127.44110168,358165.82258174,25192.60079807,3241.16757773,6.24696874
97,1,15578.20613045,27397.49552781,161.33736239,122918.4530061,22333.66855649,2479.56710126,21.65297352
98,1,15612.93055598,18727.26181221,95.05054471,78077.94417653,26476.11062402,2065.09854955,10.78395524
99,1,15873.70747308,32308.02840465,117.50197947,89926.32028917,22994.16028244,2625.65390894,17.35851134
100,1,15923.139145,11827.66553062,109.27663955,48031.39046245,23811.09957946,2552.08113065,27.70027501
101,1,16284.60009397,9867.63614196,153.06356266,144495.59953798,21734.91085735,2678.16739032,18.00661886
102,1,16508.66257923,8581.9826356,33.44779612,28507.11120549,24370.43381734,2527.17970435,8.63363338
103,1,16715.55294192,4513.47211645,98.14499534,55902.15830394,21938.05157542,2699.15892786,20.80573825
104,1,16749.78040265,6172.03633471,105.71748606,77317.42990083,22353.32512143,2449.85207289,15.57294111
105,1,17031.33125812,16658.84985998,301.1984341,501090.47649973,20051.72494102,3743.43723322,26.94951704
106,1,17233.99462678,19793.53618766,97.99302913,75071.86894861,25773.52289906,3915.59057826,22.4111424
107,1,17167.86685832,30718.27906087,137.51257,177489.79507094,21948.126189,2331.9338827,10.44246719
108,1,17295.43404847,5492.4641108,114.39102568,100023.2572316,21103.70140362,2320.43745501,13.13942291
109,1,17488.36989861,15579.76577474,131.90638825,96244.56725597,23040.81310363,3045.63358528,23.26402909
110,1,17312.56784864,19499.47657033,317.06410463,398359.57315423,22023.21735492,4296.87792714,43.05183499
111,1,17811.50485875,31785.07262397,119.64888478,61003.03015173,21420.27542491,1999.80124228,20.14462951
112,1,18034.17786003,2670.37652431,114.00010401,71192.38556063,20239.79532979,2612.0430047,20.64560946
113,1,17931.50156814,12406.26561766,144.83959774,140268.71798268,21867.52551978,2192.42542007,13.68822529
114,1,18549.49344977,6255.9374498,113.10950196,73057.37928151,20698.20020332,2112.70113055,16.04717132
115,1,18549.42214151,19132.17945137,106.39356629,128414.84293048,23765.25877076,2580.57677968,9.99232087
116,1,18576.59295639,28952.88055048,128.34679141,116014.87247852,22525.36366026,2790.8559951,16.81462551
117,1,18843.86277725,7828.88380676,104.30444873,131301.23910607,21966.33312557,2217.7130884,8.11003154
118,1,18853.78668105,9004.91390535,129.17260463,83819.99140991,21245.97956791,2280.98463755,19.24859315
119,1,19040.24071894,31097.13227071,140.76048643,124924.08129945,21547.95009526,2512.54310738,16.69188163
120,1,19155.60398527,32072.56514063,128.97722479,127553.27497563,21809.52091217,2449.81083299,13.54938365
121,1,19396.60992521,7647.97399061,86.91041216,57604.97104625,21523.71216744,2628.51122526,15.94739442
122,1,19329.60955372,14000.35294872,194.86044347,134796.94940555,21060.84842503,2072.44733566,23.69711489
123,1,19785.62537121,22093.50307497,151.45882842,250536.87670529,23566.23103821,2696.78993274,10.2547526
124,1,19744.04761242,28224.37196272,190.95677554,93123.96556438,21622.54363483,2004.70193588,31.90660391
125,1,19915.17270165,26733.44030568,108.74403466,104210.38771152,21581.7979405,2441.54214531,12.11288647
126,1,20110.34143502,3308.72826158,123.97121891,93874.97165702,19094.38534531,2531.60276488,17.68365187
127,1,20385.55437638,16333.89902764,153.9984671,157584.01396729,21490.82432639,2407.14307138,15.014262
128,1,20971.8269118,4697.85124467,140.16166008,259844.8634447,18083.16370991,2398.3360773,7.60437679
129,1,21335.27153817,6831.25502302,156.64373732,100592.43263604,18344.46273508,2158.51391152,21.77930728
130,1,21392.14944735,28022.80724922,124.12733811,82416.42418694,21119.95526795,2427.43005122,19.35767678
131,1,21536.08225501,20956.46343503,129.07253417,61763.2609658,21109.75696532,2110.19455904,24.13040616
132,1,21623.90945889,7801.00218162,173.48893402,105738.18780516,18506.02111638,2775.98892834,32.36022812
133,1,21682.15214875,9221.53274798,107.81484149,84194.62882219,19487.74458873,2196.6900869,13.2833271
134,1,22026.14839567,12423.67009376,142.00906717,154797.82510306,20535.59294594,2445.72537723,13.33292768
135,1,22213.13767421,26724.6132514,99.83801778,48693.58344992,22286.10875992,2178.248675,19.86588203
136,1,22336.14301194,6975.27032936,109.02052143,74028.0733054,18337.95830317,2480.14455974,17.39611195
137,1,22295.06509222,14896.20939431,113.11360837,134556.39837134,21211.48266386,2306.38080001,9.51550188
138,1,22264.81113424,16701.5078661,204.272636,147684.76011594,19446.92705388,2102.43630696,24.03740168
139,1,22780.82854367,18503.58022934,118.6865619,168997.7964906,21115.95794097,2443.55868403,8.75938845
140,1,22944.48018334,5128.95169358,151.00679817,72432.79118555,17668.77812722,2493.24915398,32.59151461
141,1,23188.87297607,18051.05559538,132.34222072,76174.77271374,20702.21651765,2860.85425,27.77863671
142,1,23265.03021215,25342.3934546,117.52207377,55122.96950595,20908.74879417,2269.28916069,24.48031124
143,1,23368.46569317,4421.67874161,123.5686788,57265.74058144,16416.2750796,1913.07800475,21.77639664
144,1,23498.11206264,7061.41252982,290.04763057,574546.34166389,15615.12499762,4835.51751396,28.18562432
145,1,23430.64268714,7327.64707314,146.05834381,293585.24417512,19530.55104464,2908.73517303,8.81543373
146,1,23644.52912473,17012.06118047,120.76983158,75237.00902195,19829.30671702,2556.32863933,21.2348314
147,1,23711.951404,31874.43558811,127.11265426,55522.2701142,17321.0622874,2030.8165392,25.11345536
148,1,23863.6645412,5515.21416933,113.31906766,78084.33647896,17455.32251648,1879.74021041,13.40626562
149,1,23875.6074863,23753.71639137,136.1962944,80636.1311529,19358.33108059,1918.85826269,18.57222256
150,1,24099.13038087,15877.85625303,115.00688624,64578.51432101,19216.52252113,1684.72139839,14.92240275
